Country Name,Series Name,1991.00,1992.00,1993.00,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,Forest area (% of land area),1.85,1.85,1.85,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.85,1.85
Albania,Forest area (% of land area),28.72,28.65,28.57,28.50364964,28.43248175,28.36131387,28.29014599,28.2189781,28.14781022,28.07664234,28.12324818,28.16985401,28.21645985,28.26306569,28.30967153,28.35627737,28.40288321,28.44948905,28.49609489,28.54270073,28.59465328,28.64660584,28.69855839,28.75051095,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708,28.79,28.79
Algeria,Forest area (% of land area),0.70,0.69,0.69,0.685129359,0.681434581,0.677739804,0.674045026,0.670350248,0.66665547,0.662960693,0.677193984,0.691427276,0.705660567,0.719893859,0.734127151,0.748360442,0.762593734,0.776827026,0.791060317,0.805293609,0.808484553,0.811675498,0.814866442,0.818057387,0.821247986,0.821247986,0.815789794,0.810331602,0.81411035,0.81830896,0.82,0.83
Andorra,Forest area (% of land area),34.04,34.04,34.04,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04,34.04
Angola,Forest area (% of land area),63.45,63.33,63.20,63.07941927,62.95475656,62.83009385,62.70543114,62.58076843,62.45610572,62.33144301,61.88621882,61.44099463,60.99577043,60.55054624,60.10532205,59.66009786,59.21487367,58.76964947,58.32442528,57.87920109,57.4339761,56.9887511,56.54352611,56.09830111,55.65307612,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115,52.98,52.54
Antigua and Barbuda,Forest area (% of land area),22.83,22.68,22.53,22.37727273,22.22727273,22.07727273,21.92727273,21.77727273,21.62727273,21.47727273,21.325,21.17272727,21.02045455,20.86818182,20.71590909,20.56363636,20.41136364,20.25909091,20.10681818,19.95454545,19.80454545,19.65454545,19.50454545,19.35454545,19.20454545,19.04545455,18.90909091,18.75,18.59090909,18.45454545,18.30,18.16
Argentina,Forest area (% of land area),12.80,12.73,12.66,12.59682317,12.53010023,12.46337729,12.39665435,12.32993141,12.26320847,12.19648554,12.08087142,11.9652573,11.84964318,11.73402906,11.61841495,11.50280083,11.38718671,11.27157259,11.15595848,11.04034436,10.9587129,10.87708144,10.79544998,10.71381852,10.63218706,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488,10.40,10.36
Armenia,Forest area (% of land area),..,11.74,11.74,11.72792413,11.72058307,11.71324201,11.70590095,11.69855989,11.69121883,11.68387777,11.67657183,11.66926589,11.66195996,11.65465402,11.64734809,11.64004215,11.63273621,11.62543028,11.61812434,11.61081841,11.60351247,11.59620653,11.5889006,11.58159466,11.57428872,11.56691254,11.55953635,11.55216017,11.54478398,11.5374078,11.53,11.52
Australia,Forest area (% of land area),17.40,17.37,17.35,17.3196777,17.29275738,17.26583705,17.23891673,17.21199641,17.18507608,17.15815576,17.12863335,17.09911094,17.06958853,17.04006613,17.01054372,16.98102131,16.9514989,16.92197649,16.89245408,16.86293167,16.95531026,17.04768884,17.14006743,17.23244601,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456,17.42,17.42
Austria,Forest area (% of land area),45.83,45.91,45.98,46.05741638,46.13311924,46.2088221,46.28452496,46.36022782,46.43593068,46.51163354,46.54200194,46.57237033,46.60273873,46.63310713,46.66347552,46.69384392,46.72421231,46.75458071,46.7849491,46.8153175,46.85891905,46.9025206,46.94612215,46.9897237,47.03332525,47.07695104,47.12045565,47.16396025,47.10373243,47.13790596,47.17,47.21
Azerbaijan,Forest area (% of land area),..,11.45,11.51,11.55691746,11.60796472,11.65901198,11.71005924,11.7787994,11.885279,11.95109255,12.00604692,12.05881164,12.10862895,12.16046303,12.21700097,12.27518908,12.33116944,12.38626236,12.44180848,12.49146583,12.60099567,12.71082654,12.82050351,12.92970858,13.03953401,13.15441152,13.27314606,13.41393036,13.55336705,13.69418968,13.83,13.97
"Bahamas, The",Forest area (% of land area),50.94,50.94,50.94,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.94,50.94
Bahrain,Forest area (% of land area),0.34,0.35,0.37,0.394366197,0.415492958,0.436619718,0.457746479,0.478873239,0.5,0.521126761,0.542253521,0.563380282,0.576388889,0.589041096,0.601351351,0.621621622,0.633333333,0.644736842,0.664473684,0.682414698,0.698826597,0.716883117,0.737662338,0.757457847,0.771208226,0.795892169,0.820512821,0.848329049,0.871794872,0.891719745,0.91,0.94
Bangladesh,Forest area (% of land area),14.75,14.75,14.75,14.75247138,14.75246985,14.75246908,14.75246754,14.75246601,14.75246447,14.75246293,14.72789045,14.70331797,14.67874549,14.654173,14.62960052,14.60502804,14.58045556,14.55588308,14.53130983,14.50673734,14.4991442,14.49155105,14.4839579,14.47636475,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.47,14.47
Barbados,Forest area (% of land area),14.65,14.65,14.65,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65,14.65
Belarus,Forest area (% of land area),..,38.82,39.07,39.32018257,39.56513595,39.81089848,40.05373296,40.30192921,40.54379175,40.78423253,40.9610341,41.14007366,41.3166951,41.49495846,41.66728294,41.82864803,42.00521437,42.18095435,42.3577364,42.53284837,42.53462126,42.54037723,42.54194019,42.53176531,42.53416626,42.90696987,42.97840266,43.05153217,43.12615476,43.19440339,43.27,43.34
Belgium,Forest area (% of land area),..,..,..,..,..,..,..,..,..,21.99914285,22.07355026,22.14795767,22.22236508,22.29677249,22.3711799,22.44558731,22.51999473,22.59440214,22.66880955,22.74321696,22.73945868,22.73570039,22.73194211,22.72818383,22.72442554,22.72442554,22.72442554,22.60518808,22.60444678,22.60444678,22.60,22.60
Belize,Forest area (% of land area),69.53,68.91,68.30,67.67812363,67.06115739,66.44419114,65.8272249,65.21025866,64.59329242,63.97632617,63.67860587,63.38088558,63.08316528,62.78544498,62.48772468,62.19000438,61.89228409,61.59456379,61.29684349,60.99912319,60.48566418,59.97220517,59.45874616,58.94528715,58.43182815,57.94300745,57.45374836,56.96492766,56.47566857,55.98640947,55.50,55.01
Benin,Forest area (% of land area),42.26,41.64,41.02,40.39686059,39.77607308,39.15528556,38.53449805,37.91371054,37.29292302,36.67213551,36.22871586,35.7852962,35.34187655,34.8984569,34.45503725,34.01161759,33.56819794,33.12477829,32.68135864,32.23793899,31.79451933,31.35109968,30.90768003,30.46426038,30.02084072,29.57742107,29.13400142,28.69058177,28.24716211,27.80374246,27.36,26.92
Bhutan,Forest area (% of land area),53.86,54.08,54.29,63.98070352,64.23015075,64.47959799,64.72904523,64.97849246,65.2279397,65.47738693,65.7268593,65.97633166,66.22580402,69.41039431,69.67088176,69.93136921,70.19185665,70.4523441,70.71283154,70.97331899,71.02521185,71.0771047,71.12899756,71.18089042,71.23278327,71.23427013,71.28617869,71.34556896,71.39748296,71.44939696,71.50,71.55
Bolivia,Forest area (% of land area),53.11,52.86,52.61,52.36166159,52.11211576,51.86256993,51.61302409,51.36347826,51.11393243,50.8643866,50.6783458,50.49230499,50.30626419,50.12022339,49.93418259,49.74814179,49.56210099,49.37606019,49.19001939,49.00397858,48.80850365,48.61302871,48.41755377,48.22207883,48.0266039,47.77132835,47.53274255,47.31213884,47.10953568,46.92491461,46.73,46.54
Bosnia and Herzegovina,Forest area (% of land area),..,42.78,42.59,42.39570313,42.20361328,42.01152344,41.81943359,41.62734375,41.43525391,41.24316406,41.22560547,41.20804688,41.19048828,41.17292969,41.15537109,41.1378125,41.12025391,41.10269531,41.08513672,41.06757813,41.29351563,41.51945313,41.74539063,41.97132813,42.19726563,42.50996094,42.73261719,42.73261719,42.73261719,42.73261719,42.73,42.73
Botswana,Forest area (% of land area),32.97,32.76,32.55,32.34432622,32.13558485,31.92684347,31.71810209,31.50936072,31.30061934,31.09187797,30.88313659,30.67439521,30.46565384,30.25691246,30.04817109,29.83942971,29.63068833,29.42194696,29.21320558,29.00446421,28.79572283,28.58698146,28.37824008,28.1694987,27.96075733,27.75201595,27.54327458,27.3345332,27.12579182,26.91705045,26.71,26.50
Brazil,Forest area (% of land area),70.01,69.55,69.10,68.64855578,68.19618958,67.74382339,67.29145719,66.83909099,66.3867248,65.9343586,65.4616709,64.98898319,64.51629549,64.04360779,63.57092009,63.09823238,62.62554468,62.15285698,61.68016927,61.20748157,61.02332816,60.83917474,60.65502133,60.47086792,60.28671451,60.07103255,59.83288148,59.70842795,59.55852618,59.41747805,59.27,59.13
Brunei Darussalam,Forest area (% of land area),78.06,77.76,77.46,77.15370019,76.85009488,76.54648956,76.24288425,75.93927894,75.63567362,75.33206831,75.00948767,74.68690702,74.36432638,74.04174573,73.71916509,73.39658444,73.0740038,72.75142315,72.4288425,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.11,72.11
Bulgaria,Forest area (% of land area),30.12,30.16,30.20,30.24676851,30.29015638,30.33354425,30.37693212,30.42031999,30.46370786,30.50709572,30.83431257,31.68566176,32.02721339,32.3630011,32.73195876,33.0682132,33.40760519,33.74090784,34.0899042,34.42336035,34.60022108,34.7770818,34.95394252,35.13080324,35.30766396,35.38135593,35.50110538,35.62085483,35.74060427,35.86035372,35.98,36.10
Burkina Faso,Forest area (% of land area),28.02,27.84,27.66,27.47280702,27.29002193,27.10723684,26.92445175,26.74166667,26.55888158,26.37609649,26.19334795,26.01059942,25.82785088,25.64510234,25.4623538,25.27960526,25.09685673,24.91410819,24.73135965,24.54861111,24.36578947,24.18296784,24.0001462,23.81732456,23.63450292,23.45175439,23.26900585,23.08625731,22.90350877,22.72076023,22.54,22.36
Burundi,Forest area (% of land area),10.44,10.12,9.80,9.480685358,9.159267913,8.837850467,8.516433022,8.195015576,7.873598131,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,7.552180685,8.219626168,8.887071651,9.554517134,10.22196262,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.89,10.89
Cabo Verde,Forest area (% of land area),4.42,5.02,5.63,6.232258065,6.836228288,7.440198511,8.044168734,8.648138958,9.252109181,9.856079404,9.930521092,10.00496278,10.07940447,10.15384615,10.22828784,10.30272953,10.37717122,10.4516129,10.52605459,10.60049628,10.67493797,10.74937965,10.82382134,10.89826303,10.97270471,11.0471464,11.12158809,11.19602978,11.27047146,11.34491315,11.42,11.49
Cambodia,Forest area (% of land area),62.22,62.09,61.96,61.83590528,61.70912644,61.58234761,61.45556877,61.32878994,61.2020111,61.07523227,60.96659302,60.85795377,60.74931453,60.64067528,60.53203603,60.42339678,60.31475753,60.20611829,60.09747904,59.98883979,58.01466123,56.04048266,54.0663041,52.09212554,50.11794697,49.2359506,48.35395423,47.47195785,46.58996148,45.7079651,44.83,43.94
Cameroon,Forest area (% of land area),47.41,47.22,47.03,46.83420279,46.64328024,46.45235768,46.26143513,46.07051258,45.87959002,45.68866747,45.54121766,45.39376785,45.24631804,45.09886823,44.95141842,44.80396861,44.6565188,44.50906899,44.36161917,44.21416936,44.0957035,43.97723763,43.85877176,43.7403059,43.62184003,43.50337416,43.38490829,43.26644243,43.14797656,43.02951069,42.91,42.79
Canada,Forest area (% of land area),38.84,38.84,38.83,38.82449967,38.8192467,38.81399372,38.80874075,38.80348778,38.79823481,38.79298183,38.78763071,38.78227958,38.77692846,38.77157733,38.7662262,38.76087508,38.75552395,38.75017283,38.7448217,38.73947058,38.73486407,38.73025757,38.72565107,38.72104457,38.71643807,38.71201338,38.7078876,38.70376294,38.69963717,38.69551251,39.47,39.47
Central African Republic,Forest area (% of land area),37.20,37.15,37.10,37.05255385,37.00439822,36.95624258,36.90808694,36.8599313,36.81177566,36.76362002,36.71546438,36.66730874,36.6191531,36.57099746,36.52284182,36.47468619,36.42653055,36.37837491,36.33021927,36.28206363,36.23390799,36.18575235,36.13759671,36.08944107,36.04128543,35.9931298,35.94497416,35.89681852,35.84866288,35.80050724,35.75,35.70
Chad,Forest area (% of land area),5.31,5.28,5.25,5.224904701,5.194965057,5.165025413,5.135085769,5.105146125,5.07520648,5.045266836,4.979907878,4.91454892,4.849189962,4.783831004,4.718472046,4.653113088,4.58775413,4.522395172,4.457036213,4.391677255,4.290025413,4.188373571,4.086721728,3.985069886,3.883418043,3.787325286,3.693614994,3.601493011,3.511753494,3.425190597,3.34,3.25
Chile,Forest area (% of land area),20.58,20.66,20.74,20.81208879,20.88888575,20.96568271,21.04247968,21.11927664,21.19607361,21.27287057,21.3950173,21.51716402,21.63931075,21.76145748,21.8836042,22.00575093,22.12789766,22.25004438,22.37219111,22.49433784,22.72857658,22.96281532,23.19705406,23.4312928,23.66553154,23.83086404,23.99619653,24.16152903,24.32686152,24.49215367,24.66,24.82
China,Forest area (% of land area),16.95,17.16,17.37,17.58416893,17.79572849,18.00728849,18.21882953,18.43037058,18.64191163,18.85347276,19.10496812,19.3564539,19.60793869,19.85942287,20.11090813,20.36239278,20.61387789,20.86536169,21.11684505,21.36832885,21.57462737,21.78092589,21.9872244,22.19352292,22.39982144,22.63049793,22.83070681,23.03091218,23.23111754,23.4313229,23.63,23.83
Colombia,Forest area (% of land area),58.35,58.15,57.95,57.74590717,57.54557909,57.34525101,57.14492294,56.94459486,56.74426679,56.54393871,56.37019288,56.19644705,56.02270122,55.84895539,55.67520955,55.50146372,55.32771789,55.15397206,54.98022623,54.8064804,54.68514105,54.56380171,54.44246237,54.32112303,54.19978369,54.04190176,53.84386661,53.66424516,53.48463272,53.30501127,53.13,52.95
Comoros,Forest area (% of land area),24.51,24.28,24.04,23.808705,23.57334766,23.33799033,23.10263299,22.86727566,22.63191832,22.39656099,22.16120365,21.92584632,21.69048898,21.45513165,21.21977431,20.98441698,20.74905965,20.51370231,20.27834498,20.04298764,19.80763031,19.57227297,19.33691564,19.1015583,18.86620097,18.62976894,18.39333692,18.16227834,17.92584632,17.68941429,17.45,17.22
"Congo, Dem. Rep.",Forest area (% of land area),66.15,65.85,65.55,65.25528771,64.95842615,64.66156459,64.36470303,64.06784147,63.77097991,63.47411835,63.17725679,62.88039523,62.58353367,62.28667211,61.98981055,61.69294899,61.39608743,61.09922587,60.80236431,60.50550275,60.01968373,59.53386471,59.0480457,58.56222668,58.07640767,57.59058689,57.10477052,56.61894974,56.13312896,55.64731259,55.16,54.68
"Congo, Rep.",Forest area (% of land area),65.31,65.27,65.24,65.20351391,65.16837482,65.13323572,65.09809663,65.06295754,65.02781845,64.99267936,64.95754026,64.92240117,64.88726208,64.85212299,64.81698389,64.7818448,64.74670571,64.71156662,64.67642753,64.64128843,64.60614934,64.57101025,64.53587116,64.50073206,64.46559297,64.43045388,64.39531479,64.35139092,64.30746706,64.26354319,64.22,64.18
Costa Rica,Forest area (% of land area),56.84,56.74,56.65,56.54774775,56.44947121,56.35119467,56.25291814,56.1546416,56.05636506,55.95808852,55.98546808,56.01284763,56.04022718,56.06760674,56.09498629,56.12236584,56.1497454,56.17712495,56.2045045,56.23188406,56.55240893,56.8729338,57.19345868,57.51398355,57.83450842,58.15511163,58.47571485,58.79612221,59.11672542,59.43732863,59.76,60.08
Cote d'Ivoire,Forest area (% of land area),23.82,22.95,22.09,21.2210566,20.35426101,19.48746541,18.62066981,17.75387421,16.88707862,16.02028302,15.66529245,15.31030189,14.95531132,14.60032075,14.24533019,13.89033962,13.53534906,13.18035849,12.82536792,12.47037736,12.11538994,11.76040252,11.40541509,11.05042767,10.69544025,10.34044025,9.985440252,9.630440252,9.275471698,8.920471698,8.57,8.21
Croatia,Forest area (% of land area),..,33.21,33.28,33.3392953,33.4018959,33.42265095,33.48517328,33.58969773,33.65229834,33.71369295,33.77629131,33.83888968,33.86998785,33.93252805,33.99506826,34.05760846,34.12014867,34.18268887,34.24522908,34.30776928,34.31491673,34.32206418,34.32921164,34.33635909,34.34350654,34.38139161,34.51519548,34.55989565,34.60456722,34.65171551,34.70,34.74
Cuba,Forest area (% of land area),19.51,19.86,20.22,20.56610801,20.91713222,21.26815642,21.61918063,21.97020484,22.32122905,22.67225326,23.13500931,23.82178776,24.28665414,24.75143314,25.2113867,25.68072912,26.14524615,26.61217587,27.0791056,27.54603533,27.90863068,28.43720991,29.58357321,30.12497597,30.58597502,31.1514802,31.23314066,31.23314066,31.23314066,31.23314066,31.23,31.23
Cyprus,Forest area (% of land area),17.55,17.66,17.78,17.89069264,18.004329,18.11796537,18.23160173,18.3452381,18.45887446,18.57251082,18.58582251,18.5991342,18.61244589,18.62575758,18.63906926,18.65238095,18.66569264,18.67900433,18.69231602,18.70562771,18.70281385,18.7,18.69718615,18.69437229,18.69155844,18.68073593,18.67857143,18.67640693,18.67424242,18.67207792,18.67,18.67
Czechia,Forest area (% of land area),..,..,34.06,34.06972952,34.07991459,34.09009965,34.10028472,34.11046978,34.12065485,34.13083991,34.15683965,34.18283939,34.20883914,34.23927,34.2652731,34.29571521,34.32172168,34.35217504,34.37818488,34.40864949,34.43716172,34.46567396,34.4986532,34.52716913,34.5601606,34.57907007,34.60251263,34.62595519,34.65141732,34.67799193,34.71,34.74
Denmark,Forest area (% of land area),13.39,13.49,13.59,13.6876,13.788,13.8884,13.9888,14.0892,14.1896,14.29,14.327225,14.36445,14.401675,14.4389,14.476125,14.51335,14.550575,14.5878,14.625025,14.66225,14.8532,15.04415,15.2351,15.42605,15.617,15.6165,15.64,15.664,15.6875,15.711,15.73,15.76
Djibouti,Forest area (% of land area),0.24,0.24,0.24,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.242018982,0.243313201,0.245901639,0.250215703,0.25,0.26
Dominica,Forest area (% of land area),66.75,66.43,66.10,65.77866667,65.45333333,65.128,64.80266667,64.47733333,64.152,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.83,63.83
Dominican Republic,Forest area (% of land area),33.80,34.58,35.36,36.13997102,36.92154833,37.70312565,38.48470296,39.26628027,40.04785759,40.8294349,41.03777686,41.24611882,41.45446077,41.66280273,41.87114469,42.07948665,42.28782861,42.49617057,42.70451252,42.91285448,43.03924653,43.16563858,43.29203064,43.41842269,43.54481474,43.71227489,43.87973504,44.0471952,44.31738067,44.48522989,44.65,44.82
